[2022-08-20 11:24:42] [DEBUG   ] discord.client: on_ready has successfully been registered as an event
[2022-08-20 11:24:42] [INFO    ] discord.client: logging in using static token
[2022-08-20 11:24:42] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: df2fbaaf2964e2bad2ff2eb167bd4fb5).
[2022-08-20 11:43:28] [DEBUG   ] discord.client: on_ready has successfully been registered as an event
[2022-08-20 11:43:28] [INFO    ] discord.client: logging in using static token
[2022-08-20 11:43:29] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: e8a3cf8a388f86a5c0276b5ca49a9032).
[2022-08-20 11:43:49] [DEBUG   ] discord.client: on_ready has successfully been registered as an event
[2022-08-20 11:43:49] [INFO    ] discord.client: logging in using static token
[2022-08-20 11:43:49] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 53e30aa516b33bd7f09d93cebd9cdaac).
[2022-08-20 11:55:54] [DEBUG   ] discord.client: on_ready has successfully been registered as an event
[2022-08-20 11:55:54] [INFO    ] discord.client: logging in using static token
[2022-08-20 11:55:54] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 1b0b78949770d1aee3ac9b7118ee6e01).
